university_name,university_director_post,university_director_fio
"Артемівський факультет економіки та підприємництва Приватного вищого навчального закладу ""Донецький університет економіки та права""",декан,
"Вищий навчальний заклад ""Приватне акціонерне товариство ""Волинський інститут економіки та менеджменту""",В.о. ректора,Лебідь Володимир Володимирович
"Відокремлений структурний підрозділ закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна"" Луцький інститут розвитку людини",Директор,Савич Сергій Святославович
Волинська православна богословська академія Української православної церкви Київського патріархату,Ректор,Вакін Володимир Анатолійович
"Волинський інститут імені В'ячеслава Липинського Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",Директор,Самойленко Оксана Полікарпівна
Волинський національний університет імені Лесі Українки,Ректор,Цьось Анатолій Васильович
"Державний вищий навчальний заклад ""Донецький національний технічний університет""",В.о. ректора,Ляшок Ярослав Олександрович
Комунальний заклад вищої освіти «Луцький педагогічний коледж» Волинської обласної ради,Т.в.о. ректора,Бойчук Петро Микитович
"Комунальний заклад вищої освіти ""Волинський медичний інститут"" Волинської обласної ради",В.о. ректора,Пастрик Тетяна Володимирівна
Луцька філія Західноукраїнського національного університету,Директор,Лещук Віктор Пилипович
Луцький біотехнічний інститут Закладу вищої освіти «Міжнародний науково-технічний університет імені академіка Юрія Бугая»,в.о.ректора,Гнатюк Наталія Євгеніївна
Луцький національний технічний університет,Ректор,Вахович Ірина Михайлівна
"Приватний вищий навчальний заклад ""Академія рекреаційних технологій і права""",Ректор,Стасюк Людмила Леонідівна
"Приватний вищий навчальний заклад ""Донецький університет економіки та права""",Ректор,Берсуцька Світлана Яківна
"Державний вищий навчальний заклад ""Нововолинський електромеханічний коледж""",Директор,Танасієнко Олександр Васильович
Нововолинський навчально-науковий інститут економіки та менеджменту Західноукраїнського національного університету,Директор,Чорний Роман Степанович
"Відокремлений структурний підрозділ ""Горохівський фаховий коледж Львівського національного університету природокористування""",Виконувач обов'язки директора,Жельчик Олег Миколайович
