university_name,university_id,university_parent_id,university_short_name,university_name_en,is_from_crimea,registration_year,university_edrpou,university_type_name,university_financing_type_name,university_governance_type_name,post_index,koatuu_id,region_name,koatuu_name,university_address,post_index_u,koatuu_id_u,region_name_u,koatuu_name_u,university_address_u,university_phone,university_email,university_site,university_director_post,university_director_fio,close_date,primitki
"Артемівський факультет економіки та підприємництва Приватного вищого навчального закладу ""Донецький університет економіки та права""",1649,186,ФЕП,,так,2003,26480629,Заклад вищої освіти,Приватна,,43000,0710100000,Волинська область,Луцьк,"вул. Ярощука, 5",84500,1410300000,Донецька область,Бахмут,"вул. Некрасова, 1",0623874611; 0627481288,donuep-a@yandex.ru,,декан,,,
"Вищий навчальний заклад ""Приватне акціонерне товариство ""Волинський інститут економіки та менеджменту""",60,,ВІЕМ,"Institution of Higher Education ""Private Joint-Stock Company ""Volyn Institute for Economics & Management""",,1994,20122171,Заклад вищої освіти,Приватна,,43020,0710100000,Волинська область,Луцьк,"вул. Електроапаратна, 3",43020,0710100000,Волинська область,Луцьк,"вул. Електроапаратна, 3","+38 (0332) 78-98-33,78-98-38",viem_1994@ukr.net,www.viem.edu.ua,В.о. ректора,Лебідь Володимир Володимирович,2019-10-03,"Увага! З дати блокування суб'єкта освітньої діяльності в ЄДЕБО інформація про нього не підтримується в повному, актуальному та достовірному стані"
"Відокремлений структурний підрозділ закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна"" Луцький інститут розвитку людини",237,217,"Луцький інститут розвитку людини Університету ""Україна""","Separate Structural Subdivision Lutsk Institute of Human Development of Higher Education Institution ""Open International University of Human Development ""Ukraine""",,2000,25788377,Заклад вищої освіти,Приватна,,43020,0710100000,Волинська область,Луцьк,"вул. Георгія Гонгадзе, 5",43023,0710100000,Волинська область,Луцьк,"вул. Карбишева, 2",0(332)780429,lutsk@uu.edu.ua,http://lutsk.uu.edu.ua,Директор,Савич Сергій Святославович,,
Волинська православна богословська академія Української православної церкви Київського патріархату,3914,,ВПБА УПЦ КП,Volyn Orthodox Theological Academy,,2000,21733327,Заклад вищої освіти,Приватна,,43000,0710100000,Волинська область,Луцьк,"вул. Градний узвіз, 5",43000,0710100000,Волинська область,Луцьк,"вул. Градний узвіз, 5",(0332)72-60-72,info@vpba.edu.ua,website: www.vpba.edu.ua,Ректор,Вакін Володимир Анатолійович,,
"Волинський інститут імені В'ячеслава Липинського Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",1184,249,ВІ ПрАТ «ВНЗ «МАУП»,"The Volyn Viacheslav Lypynskyi Institute of the Private Joint Stock Company ""Higher education institution ""The Interregional Academy of Personnel Management """,,2000,25743191,Заклад вищої освіти,Приватна,,43010,0710100000,Волинська область,Луцьк,"вул. Коперника, 8",43010,0710100000,Волинська область,Луцьк,"вул. Коперника, 8",(0332) 77-00-32,maup_lutsk@ukr.net,volyn.maup.com.ua,Директор,Самойленко Оксана Полікарпівна,,
Волинський національний університет імені Лесі Українки,44,,ВНУ імені Лесі Українки,Lesya Ukrainka Volyn National University,так,1940,02125102,Заклад вищої освіти,Державна,Міністерство освіти і науки України,43025,0710100000,Волинська область,Луцьк,"просп. Волі, 13",43025,0710100000,Волинська область,Луцьк,"просп. Волі, 13",0-(332) 24-00-18,post@vnu.edu.ua,vnu.edu.ua,Ректор,Цьось Анатолій Васильович,,
"Державний вищий навчальний заклад ""Донецький національний технічний університет""",202,,ДВНЗ ДОННТУ,"State Higher Education Establishment ""Donetsk National Technical University""",так,1921,02070826,Заклад вищої освіти,Державна,Міністерство освіти і науки України,43018,0710100000,Волинська область,Луцьк,"вул. Львівська, 75",85300,1413200000,Донецька область,Покровськ,"пл. Шибанкова, 2",+380 (33) 278 55 66,mail@donntu.edu.ua,www.donntu.edu.ua,В.о. ректора,Ляшок Ярослав Олександрович,,
Комунальний заклад вищої освіти «Луцький педагогічний коледж» Волинської обласної ради,624,,"КЗВО ""ЛПК"" ВОР",The Municipal Higher Educational Institution «Lutsk Pedagogical College» of the Volyn Regional Council,,1939,02126107,Заклад вищої освіти,Комунальна,Управління освіти і науки Волинської обласної державної адміністрації,43010,0710100000,Волинська область,Луцьк,"просп. Волі, 36",43010,0710100000,Волинська область,Луцьк,"просп. Волі, 36",0332248150,lpk@ua.fm,lpc.org.ua,Т.в.о. ректора,Бойчук Петро Микитович,,
"Комунальний заклад вищої освіти ""Волинський медичний інститут"" Волинської обласної ради",622,,"КЗВО ""Волинський медичний інститут""","Municipal Institution Of Higher Education ""Volyn Medical Institute"" Of The Volyn Oblast Counsil""",,1944,05500687,Заклад вищої освіти,Комунальна,Обласна рада,43016,0710100000,Волинська область,Луцьк,"вул. Лесі Українки, 2",43016,0710100000,Волинська область,Луцьк,"вул. Лесі Українки, 2",(0332)72-36-55,vmi.volyn@gmail.com,www.vmi.volyn.ua,В.о. ректора,Пастрик Тетяна Володимирівна,,
Луцька філія Західноукраїнського національного університету,2780,171,ЛФ ЗУНУ,Lutsk Branch of West Ukrainian National University,,2000,34029876,Заклад вищої освіти,Державна,Міністерство освіти і науки України,43024,0710100000,Волинська область,Луцьк,"просп. Відродження, 24",43024,0710100000,Волинська область,Луцьк,"просп. Відродження, 24",80332771741,v.leshchuk@tneu.edu.ua,,Директор,Лещук Віктор Пилипович,,
Луцький біотехнічний інститут Закладу вищої освіти «Міжнародний науково-технічний університет імені академіка Юрія Бугая»,1226,195,ЛБІ МНТУ,Lutsk Biotechnical Institute Higher Educational Institution «Academician Yuriy Bugay International Scientific and Technical University»,,2012,21744259,Заклад вищої освіти,Приватна,,43000,0710100000,Волинська область,Луцьк,"вул. Сагайдачного, 6",43000,0710100000,Волинська область,Луцьк,"вул. Сагайдачного, 6",(0332)251382,lbi_mntu@ukr.net,lbi.lutsk.ua,в.о.ректора,Гнатюк Наталія Євгеніївна,,
